           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000
  0.0000000E+000  1.7257785E-001  4.8292066E-005  8.8032805E-007  1.7604703E-004  7.0170274E-001  0.0000000E+000  2.8077074E-001  2.8054939E-001  2.7141077E-001  1.1290176E-005  1.0691408E-005  0.0000000E+000  4.5096720E-005  1.2168381E-004  2.1193705E-004  2.0214619E-006  5.5758004E-005  0.0000000E+000  1.2027614E-007  1.1041428E-005  6.4765927E-005  3.1808313E-005  4.0944813E-006  0.0000000E+000
  0.0000000E+000  1.7369517E-001  4.8632498E-005  8.7846054E-007  1.7637207E-004  7.0633926E-001  0.0000000E+000  3.1088047E-001  3.0953831E-001  3.0176650E-001  1.1466473E-005  1.0817817E-005  0.0000000E+000  4.5113624E-005  1.2177714E-004  2.1296711E-004  2.1912877E-006  5.5834093E-005  0.0000000E+000  1.7902598E-007  1.1187167E-005  6.5270722E-005  3.1805417E-005  4.0271183E-006  0.0000000E+000
  0.0000000E+000  1.7557922E-001  4.9208325E-005  8.7532181E-007  1.7692021E-004  7.1407867E-001  0.0000000E+000  3.5824317E-001  3.5533405E-001  3.4954830E-001  1.1767751E-005  1.1033425E-005  0.0000000E+000  4.5142692E-005  1.2193805E-004  2.1471679E-004  2.4827424E-006  5.5963379E-005  0.0000000E+000  2.8085574E-007  1.1440094E-005  6.6130300E-005  3.1801573E-005  3.9144136E-006  0.0000000E+000
  0.0000000E+000  1.7826358E-001  5.0032657E-005  8.7087170E-007  1.7770136E-004  7.2493173E-001  0.0000000E+000  4.1910303E-001  4.1453443E-001  4.1100320E-001  1.2205822E-005  1.1346026E-005  0.0000000E+000  4.5185352E-005  1.2217509E-004  2.1723787E-004  2.9092144E-006  5.6149753E-005  0.0000000E+000  4.3202718E-007  1.1816260E-005  6.7373490E-005  3.1798378E-005  3.7557727E-006  0.0000000E+000
  0.0000000E+000  1.8179693E-001  5.1124783E-005  8.6505230E-007  1.7872999E-004  7.3889859E-001  0.0000000E+000  4.8901977E-001  4.8303976E-001  4.8167949E-001  1.2798595E-005  1.1767406E-005  0.0000000E+000  4.5243787E-005  1.2250137E-004  2.2060801E-004  3.4911068E-006  5.6399051E-005  0.0000000E+000  6.4215257E-007  1.2340312E-005  6.9043745E-005  3.1798344E-005  3.5504897E-006  0.0000000E+000
  0.0000000E+000  1.8624478E-001  5.2511214E-005  8.5778613E-007  1.8002584E-004  7.5595181E-001  0.0000000E+000  5.6343438E-001  5.5653819E-001  5.5698770E-001  1.3571681E-005  1.2314355E-005  0.0000000E+000  4.5321152E-005  1.2293583E-004  2.2493667E-004  4.2577985E-006  5.6719509E-005  0.0000000E+000  9.2520113E-007  1.3048086E-005  7.1202756E-005  3.1805225E-005  3.2979154E-006  0.0000000E+000
  0.0000000E+000  1.9169194E-001  5.4227177E-005  8.4897364E-007  1.8161485E-004  7.7601174E-001  0.0000000E+000  6.3814419E-001  6.3094054E-001  6.3267731E-001  1.4560870E-005  1.3010232E-005  0.0000000E+000  4.5421913E-005  1.2350535E-004  2.3037424E-004  5.2506763E-006  5.7122448E-005  0.0000000E+000  1.3010658E-006  1.3990637E-005  7.3935965E-005  3.1824540E-005  2.9977474E-006  0.0000000E+000
  0.0000000E+000  1.9824568E-001  5.6318734E-005  8.3848997E-007  1.8353050E-004  7.9891233E-001  0.0000000E+000  7.0962578E-001  7.0270569E-001  7.0516682E-001  1.5815898E-005  1.3887333E-005  0.0000000E+000  4.5552363E-005  1.2424791E-004  2.3712546E-004  6.5277914E-006  5.7623303E-005  0.0000000E+000  1.7979876E-006  1.5240474E-005  7.7360885E-005  3.1864394E-005  2.6505296E-006  0.0000000E+000
  0.0000000E+000  2.0603995E-001  5.8845738E-005  8.2618060E-007  1.8581565E-004  8.2435555E-001  0.0000000E+000  7.7519428E-001  7.6903269E-001  7.7171234E-001  1.7406238E-005  1.4990512E-005  0.0000000E+000  4.5721432E-005  1.2521747E-004  2.4546990E-004  8.1710741E-006  5.8243178E-005  0.0000000E+000  2.4563450E-006  1.6901311E-005  8.1639792E-005  3.1936782E-005  2.2585146E-006  0.0000000E+000
