           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000
  0.0000000E+000  1.7254569E-001  3.9952408E-005  7.2826784E-007  1.4566372E-004  5.2214311E-001  0.0000000E+000  8.6650317E-002  8.6555365E-002  8.2685619E-002  1.1288173E-005  1.0689505E-005  0.0000000E+000  4.5090242E-005  1.2167565E-004  2.1192478E-004  2.0209206E-006  5.5746068E-005  0.0000000E+000  1.2024371E-007  1.1040317E-005  6.4762887E-005  3.1805771E-005  4.0940407E-006  0.0000000E+000
  0.0000000E+000  1.7366275E-001  4.0179722E-005  7.2574135E-007  1.4573560E-004  5.0777629E-001  0.0000000E+000  9.5236587E-002  9.4641099E-002  9.1237901E-002  1.1464436E-005  1.0815888E-005  0.0000000E+000  4.5107125E-005  1.2176894E-004  2.1295472E-004  2.1906983E-006  5.5822070E-005  0.0000000E+000  1.7897747E-007  1.1186036E-005  6.5267653E-005  3.1802857E-005  4.0266823E-006  0.0000000E+000
  0.0000000E+000  1.7554636E-001  4.0562770E-005  7.2149907E-007  1.4585521E-004  4.8548471E-001  0.0000000E+000  1.0851342E-001  1.0714654E-001  1.0446437E-001  1.1765655E-005  1.1031451E-005  0.0000000E+000  4.5136158E-005  1.2192977E-004  2.1470418E-004  2.4820697E-006  5.5951209E-005  0.0000000E+000  2.8077903E-007  1.1438929E-005  6.6127182E-005  3.1798982E-005  3.9139855E-006  0.0000000E+000
  0.0000000E+000  1.7823010E-001  4.1107990E-005  7.1549319E-007  1.4602219E-004  4.5732451E-001  0.0000000E+000  1.2519574E-001  1.2286470E-001  1.2108773E-001  1.2203641E-005  1.1343989E-005  0.0000000E+000  4.5178768E-005  1.2216670E-004  2.1722495E-004  2.9084179E-006  5.6137368E-005  0.0000000E+000  4.3190782E-007  1.1815044E-005  6.7370299E-005  3.1795741E-005  3.7553559E-006  0.0000000E+000
  0.0000000E+000  1.8176261E-001  4.1824697E-005  7.0765546E-007  1.4623596E-004  4.2551202E-001  0.0000000E+000  1.4389925E-001  1.4049535E-001  1.3973203E-001  1.2796297E-005  1.1765281E-005  0.0000000E+000  4.5237134E-005  1.2249281E-004  2.2059465E-004  3.4901376E-006  5.6386376E-005  0.0000000E+000  6.4197247E-007  1.2339024E-005  6.9040452E-005  3.1795644E-005  3.5500879E-006  0.0000000E+000
  0.0000000E+000  1.8620941E-001  4.2725403E-005  6.9789597E-007  1.4649552E-004  3.9207441E-001  0.0000000E+000  1.6335927E-001  1.5885055E-001  1.5914016E-001  1.3569230E-005  1.2312116E-005  0.0000000E+000  4.5314408E-005  1.2292707E-004  2.2492275E-004  4.2565954E-006  5.6706457E-005  0.0000000E+000  9.2493663E-007  1.3046699E-005  7.1199328E-005  3.1802441E-005  3.2975327E-006  0.0000000E+000
  0.0000000E+000  1.9165526E-001  4.3826256E-005  6.8610154E-007  1.4679932E-004  3.5864431E-001  0.0000000E+000  1.8255939E-001  1.7697544E-001  1.7830167E-001  1.4558221E-005  1.3007845E-005  0.0000000E+000  4.5415052E-005  1.2349634E-004  2.3035957E-004  5.2491601E-006  5.7108915E-005  0.0000000E+000  1.3006849E-006  1.3989115E-005  7.3932356E-005  3.1821647E-005  2.9973885E-006  0.0000000E+000
  0.0000000E+000  1.9820743E-001  4.5147618E-005  6.7213379E-007  1.4714498E-004  3.2639567E-001  0.0000000E+000  2.0077149E-001  1.9418585E-001  1.9649261E-001  1.5812993E-005  1.3884756E-005  0.0000000E+000  4.5545351E-005  1.2423856E-004  2.3710982E-004  6.5258558E-006  5.7609161E-005  0.0000000E+000  1.7974460E-006  1.5238769E-005  7.7357036E-005  3.1861359E-005  2.6501997E-006  0.0000000E+000
  0.0000000E+000  2.0599979E-001  4.6714808E-005  6.5582709E-007  1.4752887E-004  2.9607748E-001  0.0000000E+000  2.1753465E-001  2.1004848E-001  2.1325452E-001  1.7403002E-005  1.4987689E-005  0.0000000E+000  4.5714226E-005  1.2520769E-004  2.4545300E-004  8.1685726E-006  5.8228263E-005  0.0000000E+000  2.4555790E-006  1.6899354E-005  8.1635620E-005  3.1933563E-005  2.2582200E-006  0.0000000E+000
