           [1>1]           [1>2]           [2>1]           [2>2]
  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000
  0.0000000E+000  2.8414497E-002  1.3866062E-002  0.0000000E+000
  0.0000000E+000  3.0110164E-002  1.3885869E-002  0.0000000E+000
  0.0000000E+000  3.2510662E-002  1.3918875E-002  0.0000000E+000
  0.0000000E+000  3.4981097E-002  1.3965066E-002  0.0000000E+000
  0.0000000E+000  3.6751291E-002  1.4024427E-002  0.0000000E+000
  0.0000000E+000  3.7173675E-002  1.4096935E-002  0.0000000E+000
  0.0000000E+000  3.5994606E-002  1.4182565E-002  0.0000000E+000
  0.0000000E+000  3.3425239E-002  1.4281282E-002  0.0000000E+000
  0.0000000E+000  2.9964396E-002  1.4393047E-002  0.0000000E+000
  0.0000000E+000  2.6144289E-002  1.4517813E-002  0.0000000E+000
  0.0000000E+000  2.2369984E-002  1.4655525E-002  0.0000000E+000
  0.0000000E+000  1.8883099E-002  1.4806121E-002  0.0000000E+000
  0.0000000E+000  1.5794672E-002  1.4969526E-002  0.0000000E+000
  0.0000000E+000  1.3133548E-002  1.5145656E-002  0.0000000E+000
  0.0000000E+000  1.0885540E-002  1.5334415E-002  0.0000000E+000
  0.0000000E+000  9.0186713E-003  1.5535693E-002  0.0000000E+000
  0.0000000E+000  7.4974471E-003  1.5749362E-002  0.0000000E+000
  0.0000000E+000  6.2901889E-003  1.5975281E-002  0.0000000E+000
  0.0000000E+000  5.3725270E-003  1.6213286E-002  0.0000000E+000
  0.0000000E+000  4.7290137E-003  1.6463194E-002  0.0000000E+000
  0.0000000E+000  4.3539974E-003  1.6724796E-002  0.0000000E+000
  0.0000000E+000  4.2524106E-003  1.6997859E-002  0.0000000E+000
  0.0000000E+000  4.4408531E-003  1.7282119E-002  0.0000000E+000
  0.0000000E+000  4.9492252E-003  1.7577280E-002  0.0000000E+000
  0.0000000E+000  5.8231039E-003  1.7883011E-002  0.0000000E+000
  0.0000000E+000  7.1270197E-003  1.8198944E-002  0.0000000E+000
  0.0000000E+000  8.9487185E-003  1.8524669E-002  0.0000000E+000
  0.0000000E+000  1.1404315E-002  1.8859730E-002  0.0000000E+000
  0.0000000E+000  1.4643788E-002  1.9203625E-002  0.0000000E+000
