           [1>1]           [1>2]           [2>1]           [2>2]
  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000
  0.0000000E+000  2.0789507E-002  2.1802999E-001  0.0000000E+000
  0.0000000E+000  5.0394910E-002  2.1515030E-001  0.0000000E+000
  0.0000000E+000  7.1265856E-002  2.1062207E-001  0.0000000E+000
  0.0000000E+000  8.5820263E-002  2.0479591E-001  0.0000000E+000
  0.0000000E+000  9.7888856E-002  1.9807018E-001  0.0000000E+000
  0.0000000E+000  1.0968775E-001  1.9083466E-001  0.0000000E+000
  0.0000000E+000  1.2238880E-001  1.8342993E-001  0.0000000E+000
  0.0000000E+000  1.3640464E-001  1.7612614E-001  0.0000000E+000
  0.0000000E+000  1.5109299E-001  1.6911823E-001  0.0000000E+000
  0.0000000E+000  1.6388154E-001  1.6253204E-001  0.0000000E+000
  0.0000000E+000  1.6948710E-001  1.5643593E-001  0.0000000E+000
  0.0000000E+000  1.6185686E-001  1.5085364E-001  0.0000000E+000
  0.0000000E+000  1.4063413E-001  1.4577613E-001  0.0000000E+000
  0.0000000E+000  1.1427974E-001  1.4117134E-001  0.0000000E+000
  0.0000000E+000  9.2542029E-002  1.3699158E-001  0.0000000E+000
  0.0000000E+000  7.9505363E-002  1.3317914E-001  0.0000000E+000
  0.0000000E+000  7.4591765E-002  1.2967024E-001  0.0000000E+000
  0.0000000E+000  7.5594406E-002  1.2639821E-001  0.0000000E+000
  0.0000000E+000  7.9930060E-002  1.2329612E-001  0.0000000E+000
  0.0000000E+000  8.4586522E-002  1.2029936E-001  0.0000000E+000
  0.0000000E+000  8.6111229E-002  1.1734829E-001  0.0000000E+000
  0.0000000E+000  8.1792490E-002  1.1439106E-001  0.0000000E+000
  0.0000000E+000  7.1647550E-002  1.1138629E-001  0.0000000E+000
  0.0000000E+000  5.8638432E-002  1.0830527E-001  0.0000000E+000
  0.0000000E+000  4.6329678E-002  1.0513316E-001  0.0000000E+000
  0.0000000E+000  3.6853229E-002  1.0186866E-001  0.0000000E+000
  0.0000000E+000  3.0797252E-002  9.8521943E-002  0.0000000E+000
  0.0000000E+000  2.7982355E-002  9.5110916E-002  0.0000000E+000
  0.0000000E+000  2.8096048E-002  9.1656311E-002  0.0000000E+000
  0.0000000E+000  3.1011036E-002  8.8176352E-002  0.0000000E+000
  0.0000000E+000  3.6937373E-002  8.4681855E-002  0.0000000E+000
  0.0000000E+000  4.6547967E-002  8.1172534E-002  0.0000000E+000
  0.0000000E+000  6.1151223E-002  7.7635019E-002  0.0000000E+000
  0.0000000E+000  8.2895802E-002  7.4042886E-002  0.0000000E+000
  0.0000000E+000  1.1471688E-001  7.0358845E-002  0.0000000E+000
  0.0000000E+000  1.5884684E-001  6.6539129E-002  0.0000000E+000
  0.0000000E+000  2.1130204E-001  6.2540059E-002  0.0000000E+000
  0.0000000E+000  2.5384164E-001  5.8326556E-002  0.0000000E+000
  0.0000000E+000  2.6294834E-001  5.3881890E-002  0.0000000E+000
  0.0000000E+000  2.3914671E-001  4.9217270E-002  0.0000000E+000
  0.0000000E+000  2.0384044E-001  4.4379030E-002  0.0000000E+000
  0.0000000E+000  1.7270625E-001  3.9450771E-002  0.0000000E+000
  0.0000000E+000  1.5037142E-001  3.4548319E-002  0.0000000E+000
  0.0000000E+000  1.3662788E-001  2.9807161E-002  0.0000000E+000
  0.0000000E+000  1.3060747E-001  2.5364527E-002  0.0000000E+000
  0.0000000E+000  1.3249704E-001  2.1340513E-002  0.0000000E+000
  0.0000000E+000  1.4485842E-001  1.7823111E-002  0.0000000E+000
  0.0000000E+000  1.7546369E-001  1.4860502E-002  0.0000000E+000
  0.0000000E+000  2.4388033E-001  1.2461290E-002  0.0000000E+000
  0.0000000E+000  3.7847825E-001  1.0600914E-002  0.0000000E+000
  0.0000000E+000  4.8712956E-001  9.2312607E-003  0.0000000E+000
  0.0000000E+000  3.9569430E-001  8.2906794E-003  0.0000000E+000
  0.0000000E+000  2.7833957E-001  7.7124870E-003  0.0000000E+000
  0.0000000E+000  2.0611935E-001  7.4311561E-003  0.0000000E+000
  0.0000000E+000  1.5521451E-001  7.3861601E-003  0.0000000E+000
  0.0000000E+000  1.0731036E-001  7.5238966E-003  0.0000000E+000
  0.0000000E+000  5.9789914E-002  7.7982381E-003  0.0000000E+000
  0.0000000E+000  2.2828005E-002  8.1702221E-003  0.0000000E+000
  0.0000000E+000  4.0624675E-003  8.6072788E-003  0.0000000E+000
  0.0000000E+000  2.5364629E-004  9.0822789E-003  0.0000000E+000
  0.0000000E+000  4.4300332E-003  9.5725846E-003  0.0000000E+000
  0.0000000E+000  1.1734750E-002  1.0059229E-002  0.0000000E+000
  0.0000000E+000  1.9805358E-002  1.0526317E-002  0.0000000E+000
  0.0000000E+000  2.7693902E-002  1.0960740E-002  0.0000000E+000
  0.0000000E+000  3.5088872E-002  1.1352341E-002  0.0000000E+000
  0.0000000E+000  4.1933512E-002  1.1694709E-002  0.0000000E+000
  0.0000000E+000  4.8261572E-002  1.1986894E-002  0.0000000E+000
  0.0000000E+000  5.4131060E-002  1.2236453E-002  0.0000000E+000
  0.0000000E+000  5.9599214E-002  1.2464302E-002  0.0000000E+000
  0.0000000E+000  6.4714250E-002  1.2711820E-002  0.0000000E+000
  0.0000000E+000  6.9513720E-002  1.3050147E-002  0.0000000E+000
  0.0000000E+000  7.4025292E-002  1.3590249E-002  0.0000000E+000
  0.0000000E+000  7.8268270E-002  1.4489544E-002  0.0000000E+000
  0.0000000E+000  8.2255215E-002  1.5946957E-002  0.0000000E+000
  0.0000000E+000  8.5993415E-002  1.8175907E-002  0.0000000E+000
  0.0000000E+000  8.9486167E-002  2.1350073E-002  0.0000000E+000
  0.0000000E+000  9.2733866E-002  2.5534957E-002  0.0000000E+000
  0.0000000E+000  9.5734920E-002  3.0640880E-002  0.0000000E+000
  0.0000000E+000  9.8486525E-002  3.6434173E-002  0.0000000E+000
  0.0000000E+000  1.0098532E-001  4.2608122E-002  0.0000000E+000
  0.0000000E+000  1.0322791E-001  4.8872369E-002  0.0000000E+000
  0.0000000E+000  1.0521138E-001  5.5012992E-002  0.0000000E+000
  0.0000000E+000  1.0693358E-001  6.0905675E-002  0.0000000E+000
  0.0000000E+000  1.0839348E-001  6.6494888E-002  0.0000000E+000
  0.0000000E+000  1.0959137E-001  7.1760698E-002  0.0000000E+000
  0.0000000E+000  1.1052898E-001  7.6687750E-002  0.0000000E+000
  0.0000000E+000  1.1120959E-001  8.1241826E-002  0.0000000E+000
  0.0000000E+000  1.1163808E-001  8.5354232E-002  0.0000000E+000
  0.0000000E+000  1.1182082E-001  8.8913295E-002  0.0000000E+000
  0.0000000E+000  1.1176569E-001  9.1763279E-002  0.0000000E+000
  0.0000000E+000  1.1148190E-001  9.3712561E-002  0.0000000E+000
  0.0000000E+000  1.1097987E-001  9.4553527E-002  0.0000000E+000
  0.0000000E+000  1.1027105E-001  9.4095286E-002  0.0000000E+000
  0.0000000E+000  1.0936777E-001  9.2206135E-002  0.0000000E+000
  0.0000000E+000  1.0828298E-001  8.8856624E-002  0.0000000E+000
  0.0000000E+000  1.0703014E-001  8.4149072E-002  0.0000000E+000
  0.0000000E+000  1.0562297E-001  7.8320020E-002  0.0000000E+000
  0.0000000E+000  1.0407530E-001  7.1710581E-002  0.0000000E+000
  0.0000000E+000  1.0240088E-001  6.4712665E-002  0.0000000E+000
  0.0000000E+000  1.0061327E-001  5.7708707E-002  0.0000000E+000
  0.0000000E+000  9.8725684E-002  5.1023094E-002  0.0000000E+000
  0.0000000E+000  9.6750864E-002  4.4895634E-002  0.0000000E+000
  0.0000000E+000  9.4701024E-002  3.9477378E-002  0.0000000E+000
  0.0000000E+000  9.2587758E-002  3.4842273E-002  0.0000000E+000
  0.0000000E+000  9.0421989E-002  3.1006379E-002  0.0000000E+000
  0.0000000E+000  8.8213931E-002  2.7948043E-002  0.0000000E+000
  0.0000000E+000  8.5973073E-002  2.5625286E-002  0.0000000E+000
  0.0000000E+000  8.3708165E-002  2.3989063E-002  0.0000000E+000
  0.0000000E+000  8.1427226E-002  2.2992550E-002  0.0000000E+000
  0.0000000E+000  7.9137556E-002  2.2597272E-002  0.0000000E+000
  0.0000000E+000  7.6845763E-002  2.2777005E-002  0.0000000E+000
  0.0000000E+000  7.4557788E-002  2.3520232E-002  0.0000000E+000
  0.0000000E+000  7.2278944E-002  2.4831630E-002  0.0000000E+000
  0.0000000E+000  7.0013953E-002  2.6732641E-002  0.0000000E+000
  0.0000000E+000  6.7766992E-002  2.9260480E-002  0.0000000E+000
  0.0000000E+000  6.5541739E-002  3.2463732E-002  0.0000000E+000
  0.0000000E+000  6.3341422E-002  3.6390383E-002  0.0000000E+000
  0.0000000E+000  6.1168868E-002  4.1059917E-002  0.0000000E+000
  0.0000000E+000  5.9026560E-002  4.6404566E-002  0.0000000E+000
  0.0000000E+000  5.6916687E-002  5.2158658E-002  0.0000000E+000
  0.0000000E+000  5.4841210E-002  5.7685086E-002  0.0000000E+000
  0.0000000E+000  5.2801920E-002  6.1798773E-002  0.0000000E+000
  0.0000000E+000  5.0800507E-002  6.2827762E-002  0.0000000E+000
  0.0000000E+000  4.8838639E-002  5.9290483E-002  0.0000000E+000
  0.0000000E+000  4.6918046E-002  5.1083874E-002  0.0000000E+000
  0.0000000E+000  4.5040623E-002  3.9990444E-002  0.0000000E+000
  0.0000000E+000  4.3208543E-002  2.8615707E-002  0.0000000E+000
  0.0000000E+000  4.1424408E-002  1.8887381E-002  0.0000000E+000
  0.0000000E+000  3.9691417E-002  1.1551455E-002  0.0000000E+000
  0.0000000E+000  3.8013591E-002  6.5396332E-003  0.0000000E+000
  0.0000000E+000  3.6396049E-002  3.4637500E-003  0.0000000E+000
  0.0000000E+000  3.4845365E-002  1.9075113E-003  0.0000000E+000
  0.0000000E+000  3.3370027E-002  1.5366142E-003  0.0000000E+000
  0.0000000E+000  3.1981047E-002  2.1183390E-003  0.0000000E+000
  0.0000000E+000  3.0692756E-002  3.5097137E-003  0.0000000E+000
  0.0000000E+000  2.9523874E-002  5.6401352E-003  0.0000000E+000
  0.0000000E+000  2.8498934E-002  8.4970047E-003  0.0000000E+000
  0.0000000E+000  2.7650229E-002  1.2115952E-002  0.0000000E+000
  0.0000000E+000  2.7020443E-002  1.6574812E-002  0.0000000E+000
  0.0000000E+000  2.6666273E-002  2.1989646E-002  0.0000000E+000
  0.0000000E+000  2.6663407E-002  2.8510400E-002  0.0000000E+000
  0.0000000E+000  2.7113377E-002  3.6312601E-002  0.0000000E+000
  0.0000000E+000  2.8152994E-002  4.5579477E-002  0.0000000E+000
  0.0000000E+000  2.9967186E-002  5.6466067E-002  0.0000000E+000
  0.0000000E+000  3.2806133E-002  6.9034315E-002  0.0000000E+000
  0.0000000E+000  3.7007125E-002  8.3149622E-002  0.0000000E+000
  0.0000000E+000  4.3020025E-002  9.8342805E-002  0.0000000E+000
  0.0000000E+000  5.1430712E-002  1.1367745E-001  0.0000000E+000
  0.0000000E+000  6.2966501E-002  1.2771907E-001  0.0000000E+000
  0.0000000E+000  7.8446412E-002  1.3873397E-001  0.0000000E+000
  0.0000000E+000  9.8605367E-002  1.4516164E-001  0.0000000E+000
  0.0000000E+000  1.2369297E-001  1.4618065E-001  0.0000000E+000
  0.0000000E+000  1.5280224E-001  1.4201747E-001  0.0000000E+000
  0.0000000E+000  1.8316861E-001  1.3378584E-001  0.0000000E+000
  0.0000000E+000  2.1018057E-001  1.2299986E-001  0.0000000E+000
  0.0000000E+000  2.2887245E-001  1.1109077E-001  0.0000000E+000
  0.0000000E+000  2.3634026E-001  9.9138545E-002  0.0000000E+000
  0.0000000E+000  2.3304422E-001  8.7822287E-002  0.0000000E+000
  0.0000000E+000  2.2191597E-001  7.7492316E-002  0.0000000E+000
  0.0000000E+000  2.0647266E-001  6.8274748E-002  0.0000000E+000
  0.0000000E+000  1.8951993E-001  6.0162442E-002  0.0000000E+000
  0.0000000E+000  1.7280974E-001  5.3079269E-002  0.0000000E+000
  0.0000000E+000  1.5723157E-001  4.6920216E-002  0.0000000E+000
  0.0000000E+000  1.4312252E-001  4.1574144E-002  0.0000000E+000
  0.0000000E+000  1.3051666E-001  3.6935496E-002  0.0000000E+000
  0.0000000E+000  1.1930335E-001  3.2909515E-002  0.0000000E+000
  0.0000000E+000  1.0931574E-001  2.9413882E-002  0.0000000E+000
  0.0000000E+000  1.0037574E-001  2.6378518E-002  0.0000000E+000
  0.0000000E+000  9.2314642E-002  2.3744542E-002  0.0000000E+000
  0.0000000E+000  8.4981099E-002  2.1462902E-002  0.0000000E+000
  0.0000000E+000  7.8242863E-002  1.9492943E-002  0.0000000E+000
  0.0000000E+000  7.1985843E-002  1.7801037E-002  0.0000000E+000
  0.0000000E+000  6.6112163E-002  1.6359276E-002  0.0000000E+000
  0.0000000E+000  6.0538123E-002  1.5144221E-002  0.0000000E+000
  0.0000000E+000  5.5192512E-002  1.4135643E-002  0.0000000E+000
  0.0000000E+000  5.0015497E-002  1.3315150E-002  0.0000000E+000
  0.0000000E+000  4.4958276E-002  1.2664624E-002  0.0000000E+000
  0.0000000E+000  3.9983662E-002  1.2164320E-002  0.0000000E+000
  0.0000000E+000  3.5067836E-002  1.1790598E-002  0.0000000E+000
  0.0000000E+000  3.0203572E-002  1.1513364E-002  0.0000000E+000
  0.0000000E+000  2.5405311E-002  1.1293699E-002  0.0000000E+000
  0.0000000E+000  2.0716499E-002  1.1082936E-002  0.0000000E+000
  0.0000000E+000  1.6219500E-002  1.0825481E-002  0.0000000E+000
  0.0000000E+000  1.2047984E-002  1.0468529E-002  0.0000000E+000
  0.0000000E+000  8.4007393E-003  9.9805812E-003  0.0000000E+000
  0.0000000E+000  5.5539444E-003  9.3751678E-003  0.0000000E+000
  0.0000000E+000  3.8659220E-003  8.7273796E-003  0.0000000E+000
  0.0000000E+000  3.7645498E-003  8.1673186E-003  0.0000000E+000
  0.0000000E+000  5.7049570E-003  7.8465397E-003  0.0000000E+000
